Beautificator,Zone_From,Time_From,Zone_To,Time_To,Action
1,1,0,1,1,BEAU
1,1,1,1,2,BEAU
1,1,2,1,3,BEAU
1,2,4,2,5,BEAU
1,2,5,2,6,BEAU
1,2,6,2,7,BEAU
1,2,7,2,8,BEAU
1,2,8,2,9,BEAU
1,2,9,2,10,BEAU
1,2,10,2,11,BEAU
1,2,11,2,12,BEAU
1,2,12,2,13,BEAU
1,2,13,2,14,BEAU
1,9,15,9,16,BEAU
1,9,16,9,17,BEAU
1,9,17,9,18,BEAU
1,9,18,9,19,BEAU
1,9,19,9,20,BEAU
1,9,20,9,21,BEAU
1,9,21,9,22,BEAU
1,9,22,9,23,BEAU
1,9,23,9,24,BEAU
1,9,24,9,25,BEAU
1,9,25,9,26,BEAU
1,9,26,9,27,BEAU
1,9,27,9,28,BEAU
1,9,28,9,29,BEAU
1,9,29,9,30,BEAU
1,9,30,9,31,BEAU
1,9,31,9,32,BEAU
1,9,32,9,33,BEAU
1,9,33,9,34,BEAU
1,9,34,9,35,BEAU
1,9,35,9,36,BEAU
1,9,36,9,37,BEAU
1,9,37,9,38,BEAU
1,9,38,9,39,BEAU
1,14,41,14,42,BEAU
1,14,42,14,43,BEAU
1,14,43,14,44,BEAU
1,14,44,14,45,BEAU
1,14,45,14,46,BEAU
1,14,46,14,47,BEAU
1,14,47,14,48,BEAU
1,14,48,14,49,BEAU
1,14,49,14,50,BEAU
1,14,50,14,51,BEAU
1,14,51,14,52,BEAU
1,14,52,14,53,BEAU
1,15,54,15,55,BEAU
1,15,55,15,56,BEAU
1,15,56,15,57,BEAU
1,15,57,15,58,BEAU
1,15,58,15,59,BEAU
1,15,59,15,60,BEAU
1,15,60,15,61,BEAU
1,15,61,15,62,BEAU
1,15,62,15,63,BEAU
1,15,63,15,64,BEAU
1,15,64,15,65,BEAU
1,15,65,15,66,BEAU
1,15,66,15,67,BEAU
1,15,67,15,68,BEAU
1,15,68,15,69,BEAU
1,15,69,15,70,BEAU
1,15,70,15,71,BEAU
1,15,71,15,72,BEAU
1,1,3,2,4,MOVE
1,2,14,9,15,MOVE
1,9,39,14,41,MOVE
1,14,53,15,54,MOVE
