Beautificator,Zone_From,Time_From,Zone_To,Time_To,Action
5,13,0,13,1,BEAU
5,13,1,13,4,HOT
5,13,4,13,7,HOT
5,13,7,13,8,BEAU
5,13,8,13,9,BEAU
5,13,9,13,12,HOT
5,13,12,13,15,HOT
5,13,15,13,16,BEAU
5,13,16,13,17,BEAU
5,13,17,13,18,BEAU
5,13,18,13,19,BEAU
5,13,19,13,22,HOT
5,13,22,13,25,HOT
5,13,25,13,26,BEAU
5,13,26,13,27,BEAU
5,13,27,1,34,MOVE
5,1,34,1,37,HOT
5,1,37,1,40,HOT
5,1,40,1,41,BEAU
5,1,41,1,44,HOT
5,1,44,1,45,BEAU
5,1,45,1,46,BEAU
5,1,46,9,48,MOVE
5,9,48,9,49,BEAU
5,9,49,12,53,MOVE
5,12,53,12,54,BEAU
5,12,54,12,55,BEAU
5,12,55,2,60,MOVE
5,2,60,2,63,HOT
5,2,63,6,68,MOVE
5,6,68,6,69,BEAU
5,6,69,6,70,BEAU
5,6,70,6,71,BEAU
