Beautificator,Zone_From,Time_From,Zone_To,Time_To,Profit,Action
1,1,0,1,1,10,Beautification
1,1,1,1,2,10,Beautification
1,1,2,1,3,10,Beautification
1,1,3,1,4,10,Beautification
1,1,4,1,5,10,Beautification
1,1,5,1,6,10,Beautification
1,1,6,1,7,10,Beautification
1,1,7,1,8,10,Beautification
1,1,8,1,10,25,Bring-to-Hotspot
2,3,0,3,1,10,Beautification
2,3,1,3,2,10,Beautification
2,3,2,3,3,10,Beautification
2,3,3,3,4,10,Beautification
2,3,4,3,5,10,Beautification
2,3,5,3,6,10,Beautification
2,3,6,3,7,10,Beautification
2,3,7,3,8,10,Beautification
2,3,8,3,10,25,Bring-to-Hotspot
3,5,0,5,1,10,Beautification
3,5,1,5,2,10,Beautification
3,5,2,5,3,10,Beautification
3,5,3,5,4,10,Beautification
3,5,4,5,5,10,Beautification
3,5,7,5,8,10,Beautification
3,5,8,5,9,10,Beautification
3,5,9,5,10,10,Beautification
3,5,5,5,7,25,Bring-to-Hotspot
