Beautificator,Zone_From,Time_From,Zone_To,Time_To,Profit,Action
1,1,64,1,65,5,Beautification
1,2,46,2,47,5,Beautification
1,2,47,2,48,5,Beautification
1,3,0,3,1,5,Beautification
1,9,9,9,10,5,Beautification
1,9,10,9,11,5,Beautification
1,1,61,1,64,10,Bring-to-Hotspot
1,1,65,1,68,10,Bring-to-Hotspot
1,1,69,1,72,10,Bring-to-Hotspot
1,2,43,2,46,10,Bring-to-Hotspot
1,2,48,2,51,10,Bring-to-Hotspot
1,2,51,2,54,10,Bring-to-Hotspot
1,2,54,2,57,10,Bring-to-Hotspot
1,2,57,2,60,10,Bring-to-Hotspot
1,9,3,9,6,10,Bring-to-Hotspot
1,9,6,9,9,10,Bring-to-Hotspot
1,9,11,9,14,10,Bring-to-Hotspot
1,9,14,9,17,10,Bring-to-Hotspot
1,9,17,9,20,10,Bring-to-Hotspot
1,9,23,9,26,10,Bring-to-Hotspot
1,9,27,9,30,10,Bring-to-Hotspot
1,9,30,9,33,10,Bring-to-Hotspot
1,9,33,9,36,10,Bring-to-Hotspot
1,9,36,9,39,10,Bring-to-Hotspot
1,9,39,9,42,10,Bring-to-Hotspot
1,2,60,1,61,-5,Move to zone 1
1,2,2,9,3,-5,Move to zone 9
1,3,1,2,2,-5,Move to zone 2
1,9,42,2,43,-5,Move to zone 2
1,1,68,1,69,0,Wait
1,9,20,9,21,0,Wait
1,9,21,9,22,0,Wait
1,9,22,9,23,0,Wait
1,9,26,9,27,0,Wait
2,5,0,5,1,5,Beautification
2,5,16,5,17,5,Beautification
2,12,31,12,32,5,Beautification
2,12,42,12,43,5,Beautification
2,13,47,13,48,5,Beautification
2,13,48,13,49,5,Beautification
2,13,49,13,50,5,Beautification
2,5,1,5,4,10,Bring-to-Hotspot
2,5,4,5,7,10,Bring-to-Hotspot
2,5,7,5,10,10,Bring-to-Hotspot
2,5,10,5,13,10,Bring-to-Hotspot
2,5,18,5,21,10,Bring-to-Hotspot
2,5,21,5,24,10,Bring-to-Hotspot
2,12,25,12,28,10,Bring-to-Hotspot
2,12,28,12,31,10,Bring-to-Hotspot
2,12,32,12,35,10,Bring-to-Hotspot
2,12,35,12,38,10,Bring-to-Hotspot
2,12,38,12,41,10,Bring-to-Hotspot
2,12,43,12,46,10,Bring-to-Hotspot
2,13,54,13,57,10,Bring-to-Hotspot
2,13,57,13,60,10,Bring-to-Hotspot
2,13,60,13,63,10,Bring-to-Hotspot
2,13,63,13,66,10,Bring-to-Hotspot
2,13,66,13,69,10,Bring-to-Hotspot
2,13,69,13,72,10,Bring-to-Hotspot
2,5,24,12,25,-5,Move to zone 12
2,12,46,13,47,-5,Move to zone 13
2,5,13,5,14,0,Wait
2,5,14,5,15,0,Wait
2,5,15,5,16,0,Wait
2,5,17,5,18,0,Wait
2,12,41,12,42,0,Wait
2,13,50,13,51,0,Wait
2,13,51,13,52,0,Wait
2,13,52,13,53,0,Wait
2,13,53,13,54,0,Wait
3,6,44,6,45,5,Beautification
3,6,45,6,46,5,Beautification
3,6,52,6,53,5,Beautification
3,7,30,7,31,5,Beautification
3,7,31,7,32,5,Beautification
3,7,32,7,33,5,Beautification
3,7,39,7,40,5,Beautification
3,8,0,8,1,5,Beautification
3,8,7,8,8,5,Beautification
3,8,20,8,21,5,Beautification
3,8,27,8,28,5,Beautification
3,8,28,8,29,5,Beautification
3,6,41,6,44,10,Bring-to-Hotspot
