Beautificator,Zone_From,Time_From,Zone_To,Time_To,Profit,Action
1,1,66,1,67,5,Beautification
1,1,67,1,68,5,Beautification
1,1,71,1,72,5,Beautification
1,2,62,2,63,5,Beautification
1,2,63,2,64,5,Beautification
1,2,64,2,65,5,Beautification
1,3,0,3,1,5,Beautification
1,3,7,3,8,5,Beautification
1,3,14,3,15,5,Beautification
1,3,21,3,22,5,Beautification
1,4,29,4,30,5,Beautification
1,4,30,4,31,5,Beautification
1,4,34,4,35,5,Beautification
1,4,35,4,36,5,Beautification
1,1,68,1,71,10,Bring-to-Hotspot
1,2,41,2,44,10,Bring-to-Hotspot
1,2,44,2,47,10,Bring-to-Hotspot
1,2,47,2,50,10,Bring-to-Hotspot
1,2,50,2,53,10,Bring-to-Hotspot
1,2,53,2,56,10,Bring-to-Hotspot
1,2,56,2,59,10,Bring-to-Hotspot
1,2,59,2,62,10,Bring-to-Hotspot
1,3,1,3,4,10,Bring-to-Hotspot
1,3,4,3,7,10,Bring-to-Hotspot
1,3,8,3,11,10,Bring-to-Hotspot
1,3,11,3,14,10,Bring-to-Hotspot
1,3,15,3,18,10,Bring-to-Hotspot
1,3,18,3,21,10,Bring-to-Hotspot
1,3,22,3,25,10,Bring-to-Hotspot
1,3,25,3,28,10,Bring-to-Hotspot
1,4,31,4,34,10,Bring-to-Hotspot
1,4,36,4,39,10,Bring-to-Hotspot
1,2,65,1,66,-5,Move to zone 1
1,3,28,4,29,-5,Move to zone 4
1,4,39,2,41,-10,Move to zone 2
2,5,3,5,4,5,Beautification
2,5,4,5,5,5,Beautification
2,5,5,5,6,5,Beautification
2,12,31,12,32,5,Beautification
2,12,32,12,33,5,Beautification
2,12,36,12,37,5,Beautification
2,12,37,12,38,5,Beautification
2,12,41,12,42,5,Beautification
2,12,42,12,43,5,Beautification
2,13,44,13,45,5,Beautification
2,13,45,13,46,5,Beautification
2,13,46,13,47,5,Beautification
2,13,47,13,48,5,Beautification
2,5,0,5,3,10,Bring-to-Hotspot
2,5,6,5,9,10,Bring-to-Hotspot
2,5,9,5,12,10,Bring-to-Hotspot
2,5,12,5,15,10,Bring-to-Hotspot
2,5,15,5,18,10,Bring-to-Hotspot
2,5,18,5,21,10,Bring-to-Hotspot
2,5,21,5,24,10,Bring-to-Hotspot
2,12,25,12,28,10,Bring-to-Hotspot
2,12,28,12,31,10,Bring-to-Hotspot
2,12,33,12,36,10,Bring-to-Hotspot
2,12,38,12,41,10,Bring-to-Hotspot
2,13,48,13,51,10,Bring-to-Hotspot
2,13,51,13,54,10,Bring-to-Hotspot
2,13,54,13,57,10,Bring-to-Hotspot
2,13,57,13,60,10,Bring-to-Hotspot
2,13,60,13,63,10,Bring-to-Hotspot
2,13,63,13,66,10,Bring-to-Hotspot
2,13,66,13,69,10,Bring-to-Hotspot
2,13,69,13,72,10,Bring-to-Hotspot
2,5,24,12,25,-5,Move to zone 12
2,12,43,13,44,-5,Move to zone 13
3,6,58,6,59,5,Beautification
3,6,59,6,60,5,Beautification
3,6,60,6,61,5,Beautification
3,6,61,6,62,5,Beautification
3,6,62,6,63,5,Beautification
3,6,63,6,64,5,Beautification
3,6,64,6,65,5,Beautification
3,6,65,6,66,5,Beautification
3,6,66,6,67,5,Beautification
3,6,67,6,68,5,Beautification
3,6,68,6,69,5,Beautification
3,6,69,6,70,5,Beautification
3,6,70,6,71,5,Beautification
3,6,71,6,72,5,Beautification
3,7,43,7,44,5,Beautification
3,7,53,7,54,5,Beautification
3,7,54,7,55,5,Beautification
3,7,55,7,56,5,Beautification
3,7,56,7,57,5,Beautification
3,8,3,8,4,5,Beautification
3,8,7,8,8,5,Beautification
3,8,23,8,24,5,Beautification
3,8,27,8,28,5,Beautification
3,8,34,8,35,5,Beautification
3,8,41,8,42,5,Beautification
3,7,44,7,47,10,Bring-to-Hotspot
3,7,47,7,50,10,Bring-to-Hotspot
3,7,50,7,53,10,Bring-to-Hotspot
3,8,0,8,3,10,Bring-to-Hotspot
3,8,4,8,7,10,Bring-to-Hotspot
3,8,8,8,11,10,Bring-to-Hotspot
3,8,11,8,14,10,Bring-to-Hotspot
3,8,14,8,17,10,Bring-to-Hotspot
3,8,17,8,20,10,Bring-to-Hotspot
3,8,20,8,23,10,Bring-to-Hotspot
3,8,24,8,27,10,Bring-to-Hotspot
3,8,28,8,31,10,Bring-to-Hotspot
3,8,31,8,34,10,Bring-to-Hotspot
3,8,35,8,38,10,Bring-to-Hotspot
3,8,38,8,41,10,Bring-to-Hotspot
3,7,57,6,58,-5,Move to zone 6
3,8,42,7,43,-5,Move to zone 7
4,9,0,9,1,5,Beautification
4,9,28,9,29,5,Beautification
4,9,35,9,36,5,Beautification
4,9,39,9,40,5,Beautification
4,9,43,9,44,5,Beautification
4,9,47,9,48,5,Beautification
4,10,55,10,56,5,Beautification
4,10,59,10,60,5,Beautification
4,10,60,10,61,5,Beautification
4,10,70,10,71,5,Beautification
4,10,71,10,72,5,Beautification
4,9,1,9,4,10,Bring-to-Hotspot
4,9,4,9,7,10,Bring-to-Hotspot
4,9,7,9,10,10,Bring-to-Hotspot
4,9,10,9,13,10,Bring-to-Hotspot
4,9,13,9,16,10,Bring-to-Hotspot
4,9,16,9,19,10,Bring-to-Hotspot
4,9,19,9,22,10,Bring-to-Hotspot
4,9,22,9,25,10,Bring-to-Hotspot
4,9,25,9,28,10,Bring-to-Hotspot
4,9,29,9,32,10,Bring-to-Hotspot
4,9,32,9,35,10,Bring-to-Hotspot
4,9,36,9,39,10,Bring-to-Hotspot
4,9,40,9,43,10,Bring-to-Hotspot
4,9,44,9,47,10,Bring-to-Hotspot
4,10,49,10,52,10,Bring-to-Hotspot
4,10,52,10,55,10,Bring-to-Hotspot
4,10,56,10,59,10,Bring-to-Hotspot
4,10,61,10,64,10,Bring-to-Hotspot
4,10,64,10,67,10,Bring-to-Hotspot
4,10,67,10,70,10,Bring-to-Hotspot
4,9,48,10,49,-5,Move to zone 10
5,10,52,10,53,5,Beautification
5,10,62,10,63,5,Beautification
5,10,69,10,70,5,Beautification
5,10,70,10,71,5,Beautification
5,10,71,10,72,5,Beautification
5,11,0,11,1,5,Beautification
5,11,7,11,8,5,Beautification
5,11,11,11,12,5,Beautification
5,11,12,11,13,5,Beautification
5,11,13,11,14,5,Beautification
5,11,26,11,27,5,Beautification
5,10,37,10,40,10,Bring-to-Hotspot
5,10,40,10,43,10,Bring-to-Hotspot
5,10,43,10,46,10,Bring-to-Hotspot
5,10,46,10,49,10,Bring-to-Hotspot
5,10,49,10,52,10,Bring-to-Hotspot
5,10,53,10,56,10,Bring-to-Hotspot
5,10,56,10,59,10,Bring-to-Hotspot
5,10,59,10,62,10,Bring-to-Hotspot
5,10,63,10,66,10,Bring-to-Hotspot
5,10,66,10,69,10,Bring-to-Hotspot
5,11,1,11,4,10,Bring-to-Hotspot
5,11,4,11,7,10,Bring-to-Hotspot
5,11,8,11,11,10,Bring-to-Hotspot
5,11,14,11,17,10,Bring-to-Hotspot
5,11,17,11,20,10,Bring-to-Hotspot
5,11,20,11,23,10,Bring-to-Hotspot
5,11,23,11,26,10,Bring-to-Hotspot
5,11,27,11,30,10,Bring-to-Hotspot
5,11,30,11,33,10,Bring-to-Hotspot
5,11,33,11,36,10,Bring-to-Hotspot
5,11,36,10,37,-5,Move to zone 10
6,14,36,14,37,5,Beautification
6,14,43,14,44,5,Beautification
6,14,47,14,48,5,Beautification
6,15,9,15,10,5,Beautification
6,15,19,15,20,5,Beautification
6,15,20,15,21,5,Beautification
6,15,21,15,22,5,Beautification
6,15,34,15,35,5,Beautification
6,16,65,16,66,5,Beautification
6,16,66,16,67,5,Beautification
6,16,67,16,68,5,Beautification
6,16,68,16,69,5,Beautification
6,14,37,14,40,10,Bring-to-Hotspot
6,14,40,14,43,10,Bring-to-Hotspot
6,14,44,14,47,10,Bring-to-Hotspot
6,14,48,14,51,10,Bring-to-Hotspot
6,14,51,14,54,10,Bring-to-Hotspot
6,14,54,14,57,10,Bring-to-Hotspot
6,14,57,14,60,10,Bring-to-Hotspot
6,15,0,15,3,10,Bring-to-Hotspot
6,15,3,15,6,10,Bring-to-Hotspot
6,15,6,15,9,10,Bring-to-Hotspot
6,15,10,15,13,10,Bring-to-Hotspot
6,15,13,15,16,10,Bring-to-Hotspot
6,15,16,15,19,10,Bring-to-Hotspot
6,15,22,15,25,10,Bring-to-Hotspot
6,15,25,15,28,10,Bring-to-Hotspot
6,15,28,15,31,10,Bring-to-Hotspot
6,15,31,15,34,10,Bring-to-Hotspot
6,16,62,16,65,10,Bring-to-Hotspot
6,16,69,16,72,10,Bring-to-Hotspot
6,14,60,16,62,-10,Move to zone 16
6,15,35,14,36,-5,Move to zone 14
